year,subject,medal,paper_title,pdf_url,local_file
,计算机奖,优胜奖,"Sentiment Aware Neural Machine
Translation",,
,计算机奖,金奖,"基于GeoGebra自动作图的几何讲题工具研究/ A study of geometry lecturing tool  based on
GeoGebra automatic plotting",,
,计算机奖,银奖,通用电源适配协议（UPP)及其实现/ UPP & Its Implementation,,
,计算机奖,铜奖,"低成本手语手套设计与中等词汇量连续手语识别/ The Design of Low-cost Data
Glove and Research on Medium Vocabulary Continuous Gesture Language Recognition",,
,计算机奖,优胜奖,基于WGAN的汉字风格迁移/ Chinese Characters Style Transfer Using WGAN,,
,计算机奖,入围奖,"基于GeoGebra自动作图的几何讲题工具研究/ A study of geometry lecturing tool  based
on GeoGebra automatic plotting",,
2013,数学奖,,足球弧线球的数学分析方法,http://www.yau-awards.org/paper/%E7%AC%AC%E5%85%AD%E5%B1%8A%E4%B8%98%E6%88%90%E6%A1%90%E4%B8%AD%E5%AD%A6%E6%95%B0%E5%AD%A6%E5%A5%96%E8%B5%9B%E5%8C%BA%E8%AE%BA%E6%96%87/N/N11.%E8%B6%B3%E7%90%83%E5%BC%A7%E7%BA%BF%E7%90%83%E7%9A%84%E6%95%B0%E5%AD%A6%E5%88%86%E6%9E%90%E6%96%B9%E6%B3%95.pdf,
2013,数学奖,,一类 Pell 方程的可解性研究,http://www.yau-awards.org/paper/%E7%AC%AC%E5%85%AD%E5%B1%8A%E4%B8%98%E6%88%90%E6%A1%90%E4%B8%AD%E5%AD%A6%E6%95%B0%E5%AD%A6%E5%A5%96%E8%B5%9B%E5%8C%BA%E8%AE%BA%E6%96%87/N/N06.%E4%B8%80%E7%B1%BBPell%E6%96%B9%E7%A8%8B%E7%9A%84%E5%8F%AF%E8%A7%A3%E6%80%A7%E7%A0%94%E7%A9%B6.doc,
2013,数学奖,,Quantum Watermarking in M-band Wavelet Domain,http://www.yau-awards.org/paper/%E7%AC%AC%E5%85%AD%E5%B1%8A%E4%B8%98%E6%88%90%E6%A1%90%E4%B8%AD%E5%AD%A6%E6%95%B0%E5%AD%A6%E5%A5%96%E8%B5%9B%E5%8C%BA%E8%AE%BA%E6%96%87/N/N03.Quantum%20Watermarking%20in%20M-band%20Wavelet%20Domain.pdf,
2013,数学奖,,关于 “ 青蛙跳几次，一米徘徊 ” 概率问题的研究,http://www.yau-awards.org/paper/%E7%AC%AC%E5%85%AD%E5%B1%8A%E4%B8%98%E6%88%90%E6%A1%90%E4%B8%AD%E5%AD%A6%E6%95%B0%E5%AD%A6%E5%A5%96%E8%B5%9B%E5%8C%BA%E8%AE%BA%E6%96%87/N/N15.%E5%85%B3%E4%BA%8E,
2013,数学奖,,高层建筑安全疏散问题的研究及泛函背景下疏散方案设计的尝试,http://www.yau-awards.org/paper/%E7%AC%AC%E5%85%AD%E5%B1%8A%E4%B8%98%E6%88%90%E6%A1%90%E4%B8%AD%E5%AD%A6%E6%95%B0%E5%AD%A6%E5%A5%96%E8%B5%9B%E5%8C%BA%E8%AE%BA%E6%96%87/E/E10.%E9%AB%98%E5%B1%82%E5%BB%BA%E7%AD%91%E5%AE%89%E5%85%A8%E7%96%8F%E6%95%A3%E9%97%AE%E9%A2%98%E7%9A%84%E7%A0%94%E7%A9%B6%E5%8F%8A%E6%B3%9B%E5%87%BD%E8%83%8C%E6%99%AF%E4%B8%8B%E7%96%8F%E6%95%A3%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1%E7%9A%84%E5%B0%9D%E8%AF%95.pdf,
2013,数学奖,,形如 ax+bx=cx 的简单指数方程解的无理性判定,http://www.yau-awards.org/paper/%E7%AC%AC%E5%85%AD%E5%B1%8A%E4%B8%98%E6%88%90%E6%A1%90%E4%B8%AD%E5%AD%A6%E6%95%B0%E5%AD%A6%E5%A5%96%E8%B5%9B%E5%8C%BA%E8%AE%BA%E6%96%87/E/E06.%E5%BD%A2%E5%A6%82ax+bx=cx%E7%9A%84%E7%AE%80%E5%8D%95%E6%8C%87%E6%95%B0%E6%96%B9%E7%A8%8B%E8%A7%A3%E7%9A%84%E6%97%A0%E7%90%86%E6%80%A7%E5%88%A4%E5%AE%9A.pdf,
2013,数学奖,,基于基本体格检查提出综合肥胖指数的分析与应用,http://www.yau-awards.org/paper/%E7%AC%AC%E5%85%AD%E5%B1%8A%E4%B8%98%E6%88%90%E6%A1%90%E4%B8%AD%E5%AD%A6%E6%95%B0%E5%AD%A6%E5%A5%96%E8%B5%9B%E5%8C%BA%E8%AE%BA%E6%96%87/E/E15.%E5%9F%BA%E4%BA%8E%E5%9F%BA%E6%9C%AC%E4%BD%93%E6%A0%BC%E6%A3%80%E6%9F%A5%E6%8F%90%E5%87%BA%E7%BB%BC%E5%90%88%E8%82%A5%E8%83%96%E6%8C%87%E6%95%B0%E7%9A%84%E5%88%86%E6%9E%90%E4%B8%8E%E5%BA%94%E7%94%A8.pdf,
2013,数学奖,,Leslie 修正模型在南京市人口预测中的应用,http://www.yau-awards.org/paper/%E7%AC%AC%E5%85%AD%E5%B1%8A%E4%B8%98%E6%88%90%E6%A1%90%E4%B8%AD%E5%AD%A6%E6%95%B0%E5%AD%A6%E5%A5%96%E8%B5%9B%E5%8C%BA%E8%AE%BA%E6%96%87/E/E19.Leslie%E4%BF%AE%E6%AD%A3%E6%A8%A1%E5%9E%8B%E5%9C%A8%E5%8D%97%E4%BA%AC%E5%B8%82%E4%BA%BA%E5%8F%A3%E9%A2%84%E6%B5%8B%E4%B8%AD%E7%9A%84%E5%BA%94%E7%94%A8.doc,
2013,数学奖,,三角形中神奇的点,http://www.yau-awards.org/paper/%E7%AC%AC%E5%85%AD%E5%B1%8A%E4%B8%98%E6%88%90%E6%A1%90%E4%B8%AD%E5%AD%A6%E6%95%B0%E5%AD%A6%E5%A5%96%E8%B5%9B%E5%8C%BA%E8%AE%BA%E6%96%87/E/E24.%E4%B8%89%E8%A7%92%E5%BD%A2%E4%B8%AD%E7%A5%9E%E5%A5%87%E7%9A%84%E7%82%B9.doc,
2013,数学奖,,地图投影变换在全球一张图量算中的应用,http://www.yau-awards.org/paper/%E7%AC%AC%E5%85%AD%E5%B1%8A%E4%B8%98%E6%88%90%E6%A1%90%E4%B8%AD%E5%AD%A6%E6%95%B0%E5%AD%A6%E5%A5%96%E8%B5%9B%E5%8C%BA%E8%AE%BA%E6%96%87/N/N02.%E5%9C%B0%E5%9B%BE%E6%8A%95%E5%BD%B1%E5%8F%98%E6%8D%A2%E5%9C%A8%E5%85%A8%E7%90%83%E4%B8%80%E5%BC%A0%E5%9B%BE%E9%87%8F%E7%AE%97%E4%B8%AD%E7%9A%84%E5%BA%94%E7%94%A8.pdf,
2019,化学奖,金奖,The abnormal shrinkage of water volume and the mechanism,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A605.203-%E6%9D%8E%E8%8B%B1%E9%AA%A5.pdf,
2019,化学奖,银奖,In Vivo Tracing of The Effect of Microplastic Pollution on Salicylic Acids and Organophosphorus Pesticides Uptake in Aloe,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A601.17-%E5%A7%9A%E6%B2%90%E5%9E%A0.pdf,
2019,化学奖,,Fabrication and mechanism of reversible wettability (hydrophilic-oleophilic) sponge,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A612.1111-%E5%88%98%E4%B8%81%E8%8F%A1.pdf,
2019,化学奖,,Preparation of Tumor Hypoxia Sensitive Nanomotors,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A606.283-%E7%8E%8B%E6%B3%BD%E5%AE%87.pdf,
2019,化学奖,,Synthesis and characterization of AIE-active chiral binaphthol derivatives for OLEDs with circularly polarized luminescence,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A603.184-%E5%BC%A0%E6%B5%B7%E5%B9%B3.pdf,
2019,化学奖,,"New use of drug, Galanthamine as both Amyloid-Beta inhibitor and AChE inhibitor",http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A614.1372-%E8%8C%83%E6%96%87%E6%A5%B7.pdf,
2019,化学奖,,Synthesis of Highly Functionalized  Quinoline Derivatives via the Ring-Expansion Reaction of Indole Derivatives,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A611.950-%E9%92%9F%E4%B8%AD%E6%97%A5.pdf,
2019,化学奖,,Silk Derived Highly Dispersed Ni supported by N-Doped Carbon Nanosheet toward Electrochemical CO2 Reduction,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A609.770.-%E8%83%A1%E8%AF%97%E6%88%90.pdf,
2019,化学奖,,Achieving Freestanding Rich-Mixed-Valence MnxCoySz/CNT Film Electrodes Toward Foldable Ultrahigh Volume Energy Density All-Solid-State Supercapacitors,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A608.733-%E5%91%A8%E9%98%85%E5%BE%AE.pdf,
2019,化学奖,优胜奖,Research on the Conversion of Waste Straw into High-octane Gasoline,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A607.534-%E6%BD%98%E7%B4%AB%E7%90%AA.pdf,
2019,化学奖,,Study on Electrochemical Performance of Bifunctional Composite Catalysts Based on Pt and SrCo0.95P0.05O3-δ,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A602.98-%E5%91%A8%E5%AD%90%E5%87%8C.pdf,
2019,化学奖,,Study on the Synthesis and Superconductivity of BaPb0.60Bi0.40O3 Doped with Potassium,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A604.1215-%E5%BC%A0%E7%A6%8F%E7%8E%89.pdf,
2019,化学奖,,Controlled Preparation of Porous Solid Base and Experimental Study on Synthesis of New Energy by Transesterification,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A610.851-%E4%B8%81%E5%98%89%E9%B9%8F.pdf,
2019,化学奖,入围奖,Controlled Release of Methotrexate from Nanofibers Prepared via Emulsion and Electrospinning,http://www.yau-awards.science/wp-content/uploads/2019/01/%E5%8C%96%E5%AD%A613.197-%E5%AE%8B%E6%9E%97%E8%BD%A9.pdf,
2019,数学奖,优胜奖,Group Theory and Megaminx,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A615.1402-Gerald-Jiarong-Xu.pdf,
2019,数学奖,银奖,Equichordal Curves on Simply Connected Surfaces of Constant Curvature,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A606.411-%E6%9D%8E%E5%B2%B3%E6%A1%90.pdf,
2019,数学奖,,Pancyclicity and Cycle Length Distribution of Generalized Petersen Graphs,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A602.63-%E9%99%88%E5%85%86%E5%90%9B.pdf,
2019,数学奖,,Second and Higher Gonalities of Erdős–Rényi Random Graphs,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A603.1506-Guanpeng-Andy-Xu.pdf,
2019,数学奖,铜奖,On maximum area of the polygons with given side lengths,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A613.871-%E8%83%A1%E6%80%A1%E5%8D%9A.pdf,
2019,数学奖,,On some types of the infinite product,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A607.428-%E5%8D%A2%E8%88%9F%E6%89%AC.pdf,
2019,数学奖,,A study on periodic points of tent maps,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A608.487-%E7%89%9B%E7%9D%BF%E6%9D%B0.pdf,
2019,数学奖,,Congruence of Linear Symplectic Forms by the Symplectic Group,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A609.536-%E6%96%BD%E9%99%86%E8%BE%B0.pdf,
2019,数学奖,,A property of integer-valued Lyapunov function for a class of totally nonnegative matrices,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A612.707-%E9%82%B1%E7%91%9E%E6%98%95.pdf,
2019,数学奖,优胜奖,Directed graph method for intelligent vehicle to orderly pass through unsignalized intersection and its application,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A619.1771-%E6%9D%8E%E5%88%A9%E9%91%AB.pdf,
2019,数学奖,,On the ranks and periods of Lucas Sequence modulo positive integers and their upper bounds,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A601.24-%E6%A2%81%E6%AC%A3%E7%84%B6.pdf,
2019,数学奖,,Hahn-Banach Theorem in Nuclear Mapping Spaces,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A604.92-%E8%91%A3%E5%B9%B3%E5%B7%9D.pdf,
2019,数学奖,,Parameter-dependent Integrals on Topological Spaces,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A605.335-%E5%91%A8%E7%91%9E%E9%93%AD.pdf,
