year,subject,medal,paper_title,pdf_url,local_file
2019,数学奖,,A Better Upper Bound of the Hausdorff Measure of the Cartesian Product of the Middle Third Cantor Set with Itself,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A610.542%E8%8C%83%E9%9B%A8%E8%BE%B0.pdf,
2019,数学奖,,The random-probability transformation of two-color balls on a circumference,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A611.660-%E5%BC%A0%E8%AF%9A%E8%B7%83.pdf,
2019,数学奖,,The Behavior of Iterations of Compositions of Inversions Preserving a Circle,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A614.1176-%E9%99%88%E4%B8%80%E7%A5%AF.pdf,
2019,数学奖,,Remark on the paper ” Fluctuations in the distribution of Hecke eigenvalues about the Sato-Tate measure”,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A616.1504-%E5%AD%99%E7%8E%8F%E6%B6%B5.pdf,
2019,数学奖,,The generalization of Finsler-Hadwiger’s inequality on generalized hyperbolic triangles and its appilications,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A617.66-%E5%88%98%E9%A2%96%E6%AC%A3.pdf,
2019,数学奖,入围奖,The Multi-objective Optimization of Predicative Scheduling for High Profitable Passengers Seeking Based onSpatial-temporal feature of Taxi GPS Big Data,http://www.yau-awards.science/wp-content/uploads/2019/01/%E6%95%B0%E5%AD%A618.1539-%E6%96%B9%E4%B9%A6%E7%94%B0.pdf,
2019,物理奖,金奖,The Study of Movement Models of Chinese Traditional Water Sleeves,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8615.1210-%E6%9D%8E%E7%9F%A5%E8%AF%9A.pdf,
2019,物理奖,,The Winding Pendulum Phenomenon-A study on pendula with azimuthal-length constraint,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8602.320-%E6%9D%8E%E5%85%86%E4%BA%BF.pdf,
2019,物理奖,,Study on the conductive property of flat sample with hole,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8614.785-%E8%8B%97%E8%BE%B0%E9%A3%9E.pdf,
2019,物理奖,,Investigation on the dynamics of friction induced reciprocation,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8606.442-%E9%BB%84%E9%9B%A8%E8%A1%A1.pdf,
2019,物理奖,银奖,Experiment study on motion mechanism of a straw placed in carbonated water,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8601.1351-%E8%92%8B%E5%AE%89%E5%B0%A7.pdf,
2019,物理奖,,The Frequency Analysis and Resonance Simulation of Khoomei Singing,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8610.811-%E7%8E%8B%E9%9D%96.pdf,
2019,物理奖,,Investigating the Aerodynamic Performance of Biomimetic Gliders for Use in Future Transportation,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8609.1137-Wang-Jiwei.pdf,
2019,物理奖,,Rotation Study of Soft Magnetic Alloy Ring Under Thermo-Magnetic Interaction,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8608.663-%E6%9D%8E%E5%B2%9A%E5%87%87.pdf,
2019,物理奖,,Study on the Mechanism of the Forepart of the Sneakers Getting Wet when Walking on the Road with Standing Water,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8604.409-%E5%90%B4%E6%A2%93%E8%B1%AA.pdf,
2019,物理奖,优胜奖,The rolling motion of constrained three-dimensional rigid bodies,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8603.378-%E6%9D%A8%E6%82%A6%E5%AE%81.pdf,
2019,物理奖,,Study on Artificial Bone Design Based on Topology Optimization and Variable-density Lattice Material,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8605.417-%E5%8F%B6%E5%AE%B6%E5%8D%87.pdf,
2019,物理奖,,Effects of Ultrasonic Sensitizing Agents and interfacial Roughness on Ultrasonic Welding Strength and Efficiency of Polypropylene,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8607.508-%E5%BC%A0%E8%88%92%E6%B6%B5.pdf,
2019,物理奖,,Exploration and application of the characteristics of butterflies in angle-resolved color,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8611.833-%E5%BE%90%E5%AE%81%E8%87%B4.pdf,
2019,物理奖,,Design and Experimental Realization of Acoustic Invisibility Cloak with Phononic Crystal Structure,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8612.855-%E6%9D%8E%E5%BF%83%E6%9C%88.pdf,
2019,物理奖,,Broadband Ferromagnetic Resonance of Magnetic Insulator Thin Films and Bilayers: Effect of Overlayer on Spin Dynamics,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8613.979-Jimmy-Shi.pdf,
2019,物理奖,入围奖,Principle and Design of Optical Path for Ultra-short Femtosecond Laser Pulse Width Measurement,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%89%A9%E7%90%8616.211-%E5%91%A8%E4%B8%8A%E8%88%AA.pdf,
2019,生物奖,金奖,Designed 3D scanning system to achieve the spatial uniformity of the optimal pressure value of pressure therapy,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A905.591-%E8%A9%B9%E6%9E%97.pdf,
2019,生物奖,,A novel path employing luminescent bacteria as a light source to improve the growth of microalgae in bioflim-based cultivation,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A908.815-%E7%8E%8B%E9%94%A6%E8%8A%B8.pdf,
2019,生物奖,银奖,The reduction of Caenorhabditis elegans offspring’s learning ability caused by ethanol stimulation and possible correlations with epigenetic modification of synaptic function-related genes,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A903.441-%E6%9D%8E%E6%BB%9F%E8%94%9A.pdf,
2019,生物奖,,Construction and characterization of a bio-detector for inflammatory bowel disease,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A901.362-%E9%83%AD%E7%82%9C%E8%88%AA.pdf,
2019,生物奖,铜奖,Study on a Novel Analgesic Peptide from the Digestive Juice of Land Leeches,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A910.-860-%E6%9B%BE%E6%99%A8%E5%B8%8C.pdf,
2019,生物奖,,Identification of the gene deficiency responsible for white-flowered butterfly pea and potential applications for genetic engineering of flower color,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A911.-867-%E5%BE%90%E7%93%AF%E6%BA%90.pdf,
2019,生物奖,,Research on the Effects of Plant Audio  Technology on the Growth and Pathogenicity of Fungi—— A New Physical Sterilization Technology,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A909.-850-%E8%B0%A2%E6%89%BF%E7%BF%B0.pdf,
2019,生物奖,,A new discovery of the key stress protein HSP90 in regulating the regenerative ability of the planarian,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A906.715-%E9%82%B9%E6%99%AE%E8%B6%8A.pdf,
2019,生物奖,,A Preliminary Study of a New Inoculation Method for “Jinhua” Fungus on Fermented Fu Tea,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A904.525-%E6%9D%8E%E4%BE%9D%E7%84%B6.pdf,
2019,生物奖,优胜奖,Isolation of antiphytopathogenic bacteria from soils in Beijing and initial investigation of their antifungal activity,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A902.435-%E5%BC%A0%E6%96%87%E7%91%9E.pdf,
2019,生物奖,,"Catalitaxol, a Novel Compound with Remarkable Anticancer Activity from the Endophytic Fungus FSN02",http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A907.786-%E8%8B%97%E8%BE%B0%E9%A3%9E.pdf,
2019,生物奖,入围奖,Discovery of a new way for efficient synthesis of nano-selenium by microalgae,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%94%9F%E7%89%A912.-1135-%E9%98%B3%E4%B9%90.pdf,
2019,经济金融建模奖,,The Role of Big Data in Smart Tourism: A Case Study of Understanding Museum Visiting Behavior,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E11.1807-%E5%90%B4%E4%B8%96%E6%82%A0.pdf,
2019,经济金融建模奖,银奖,The Modeling of Water Resources in China,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E12.1721-%E8%B5%B5%E6%9C%AA%E6%9D%A5.pdf,
2019,经济金融建模奖,,How to Mitigate the Influence of Market Competition on Financing Constraints of Small and Medium-sized Enterprises,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E09.1829-%E7%BF%9F%E7%91%9E%E6%9D%B0.pdf,
2019,经济金融建模奖,,Ladder-pricing Eases National Day Holiday Highway Congestion——Mathematical Model Of Consumer Behavior Based On The Perspective Of Price Discrimination,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E04.-1623-%E5%91%A8%E6%80%9D%E8%BF%9C.pdf,
2019,经济金融建模奖,铜奖,A Study on Constructing Credit Card Fraud Detection Models,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E01.1588-%E9%99%B6%E9%87%8D%E5%B9%B4.pdf,
2019,经济金融建模奖,,A Comparative Study on Online and Offline Pricing of Chain Brand Merchant on the Catering Takeaway Platform,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E13.1835-%E6%9D%A8%E8%8B%A5%E6%9B%A6.pdf,
2019,经济金融建模奖,,A Discussion on Inverted-U Shape Relationship between Social Autonomous Consumption and Medical Insurance Fund Size,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E08.1714-%E7%AB%A5%E5%9F%B9%E8%BD%A9.pdf,
2019,经济金融建模奖,,The Effect of the Bitcoins Inclusion of on a Port folio Typical to Chinese Investors,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E06.1838-%E5%BE%90%E4%BB%95%E9%9B%84.pdf,
2019,经济金融建模奖,,Some Empirical Studies on Chinese Crude Oil Futures,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E05.1642-Lixin-Huang.pdf,
2019,经济金融建模奖,优胜奖,Evaluation and Prediction of Cell Phone Sales Based on Various Techniques,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E03.1599-%E7%94%B0%E8%82%87%E9%98%B3.pdf,
2019,经济金融建模奖,,The Influence of Framing Effects on Consumer Decision-Making on Online Platforms,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E02.1526-%E8%83%A1%E9%80%B8%E9%98%B3.pdf,
2019,经济金融建模奖,,Research on Optimization Model of Commuter Vehicle Transportation Cost for Large Enterprises,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E07.1662-%E7%89%9B%E4%B8%80%E5%90%8D.pdf,
2019,经济金融建模奖,,Research on the influence of family education input on academic achievement of Urban Senior Middle School Students,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E10.1787-%E5%88%98%E7%A6%B9%E6%90%8F.pdf,
2019,经济金融建模奖,,Investors’ Subjective Cognition of CEOs’ Abilities and Stock Price Volatility: Evidence from China,http://www.yau-awards.science/wp-content/uploads/2019/01/%E7%BB%8F%E6%B5%8E14.1653-%E9%99%88%E9%B9%8F%E9%A3%9E.pdf,
2019,计算机奖,金奖,SO2 emission prediction of Huangtai power plant using variable selection and BP nerual network,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA13.1205-%E6%9D%8E%E4%B8%9C%E5%B3%B0.pdf,
2019,计算机奖,银奖,Bicycle-sharing Smart Lock System,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA11.990-%E5%8D%9E%E6%80%9D%E5%A9%89.pdf,
2019,计算机奖,,Table tennis recognition and positioning based on monocular vision and Faster-RCNN,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA14.221-%E7%B6%A6%E5%AE%B6%E6%B7%B3.pdf,
2019,计算机奖,,Binary Reed-Solomon Coding Based Secure Distributed Storage Scheme and Test-Bed for Information-Centric Fog Networks,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA10.909-%E8%88%92%E7%83%A8.pdf,
2019,计算机奖,铜奖,Deep Neural Network Based Subspace Learning of Robotic Manipulator Workspace Mapping,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA04.20-%E5%BB%96%E5%9F%B9%E5%85%83.pdf,
2019,计算机奖,,Active Learning over DNN: Automated Engineering Design Optimization for Fluid Dynamics Based on Self-Simulated Dataset,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA09.796-Yang-Chen.pdf,
2019,计算机奖,,Translation system from natural language to sign language by using HamNoSys,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA07.628-%E5%BA%B7%E5%93%B2%E6%B6%B5.pdf,
2019,计算机奖,,Compound Object-Detection Algorithm for Eye Tracking in Virtual Reality Head-Mounted Display,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA06.587-%E6%A2%85%E6%AF%85%E8%BD%A9.pdf,
2019,计算机奖,,Domain Knowledge Graph Integrated Intelligent Question Answering System For Childcare,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA05.526-%E5%BE%90%E8%8A%B7%E6%B6%B5.pdf,
2019,计算机奖,,LittleGAN: Conditional Facial Image Generation and Adjustment,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA01.445-%E8%92%99%E6%B0%B8%E7%BF%94.pdf,
2019,计算机奖,,Predicting Bike Sharing Demand Using Deep LSTMs,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA02.1368-%E6%BD%98%E8%A8%80.pdf,
2019,计算机奖,,Dynamic Early Warning Operation System Based on Variable Sharing,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA03.374-%E6%9D%8E%E6%B3%BD%E8%BD%A9.pdf,
2019,计算机奖,,Utilizing deep learning models for classification of motor imagery EEG signals,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA08.647-%E5%90%95%E8%A1%8C%E5%81%A5.pdf,
2019,计算机奖,入围奖,Developing a Portable Telerehabilitation system for Knee Replacement Patients,http://www.yau-awards.science/wp-content/uploads/2019/01/%E8%AE%A1%E7%AE%97%E6%9C%BA12.1124-Chua-Shao-Cong.pdf,
